"","Sample_04","Sample_03","Sample_02","Sample_01"
"317",63.1177862472034,138.003019309595,45.6136348225969,4.47967495496423
"318",25.4425171194016,115.4551680128,33.3910233441221,2.93360603661599
"319",73.9227926808042,119.848822949267,52.2380175838158,2.62059962302598
"320",0,39.0292319131881,0,0
"321",20435.6207705883,10601.0547484067,31005.6077948908,29740.6516651009
"322",10012.2879502156,12953.9529100849,8730.65010559442,13631.2780454688
"323",7028.06972711721,178.100680507991,8106.36594163,1397.94056057971
"324",14.1838445530512,29.9230207826749,10.5184822738377,0
"325",25941.5094476131,34352.9120026668,21926.7158726238,33757.1943433016
"326",1.31209803672435,15.3942490603689,0,4.22607284904754
"327",1510.44292496102,449.414859224873,2081.11899239758,1381.80328661965
"328",0,0,0,0
"329",20663.1171534114,10574.9334498399,27963.4264387889,21217.6385029252
"330",0,0,0,0
"331",43283.4422971191,42834.6602809426,62889.8573488795,57405.6422556303
"332",46339.9771643274,50431.6965952459,53875.3956795987,48635.4882773508
"333",0,0,0,0
"334",35490.4696081955,39181.5195038929,36518.6616752398,45031.4012026398
"335",17.6555363234405,21.2266464346127,131.642454865593,20.2808383825884
"336",38258.2429280489,39547.8473184165,63635.503819201,69961.1445625021
"337",44838.9481839451,48513.7522286488,55785.9116536174,80953.8405730315
"338",0,0,0,0
"339",14.8757649156808,39.9842502275509,8.72165500853907,0
"340",0,0,0,3.56504874770636
"341",34119.9797111684,33523.8250335715,39868.3327589843,44985.1628067465
"342",0,0,0,0
"343",1.8857343727118,1.95316101186869,0,5.34235344714057
"344",0,0,0,0
"345",0,0,0,0
"346",4440.81527292781,10908.5866420096,1642.47733007509,2915.46182738611
"347",0,7.23945787301221,0,8.29671603892593
"348",0,0,8.08798874042878,32.53059510208
"349",73.6277702127265,15.3289067815063,60.8799489041654,248.410709522115
"350",49185.0916667322,58306.7697523731,43836.4473641933,76714.6444155436
"351",43600.4030983225,47549.9296898309,50577.4257633243,70133.502747315
"352",200.167626005303,329.303438227224,116.295516182334,15.6206500742918
"353",8.69099331209714,0,0,0
"354",704.101798079125,417.323243666739,383.762067174643,3205.96839137123
"355",1337.27507990117,2509.85641116464,688.102836389437,2261.10656166799
"356",0,0,0,0
"357",0,0,0,0
"358",4005.68407029085,19372.40630975,3068.59546932998,2467.37591655355
"359",0,0,0,0
"360",0,6.58491062238579,0,0
"361",59031.624372285,79625.1821487573,87492.7051126967,87651.3226392012
"362",7291.34012891759,12580.8188509816,4812.43003246479,15405.8164128315
"363",699.82738601645,1252.92790014706,415.793149285407,4167.61042324253
"364",4750.01674849371,4706.18795226302,3108.60224810346,3622.49789973773
"365",27.9411945079709,162.59348949473,85.2894567811896,52.5707960542066
"366",11099.7665029122,34515.1706416154,13995.969363507,10153.5279725273
"367",0,11.1014371237016,0,0
"368",16439.670326638,5242.26969698891,25100.1898811647,21520.6099753135
"369",11467.6743391269,26288.5942676855,14325.8172690503,15459.0583577584
"370",2772.02063855241,3929.56711529199,700.715045090772,737.367886556349
"371",5498.38867456589,14843.4204901855,1508.08199732639,2213.30671146961
"372",0,0,0,0
"373",11885.9843020988,14832.7909955985,13128.5707467716,20857.2805233691
"374",17474.5365516964,18720.838058392,18924.2535573866,35158.1352559357
"375",47500.9522362681,41020.9399670639,62911.7410293197,62776.9632083062
"376",0,0,0,0
"377",0,0,0,0
"378",6.35354731304779,0,0,7.99190195330287
"379",10577.6319720858,12751.1836972462,12006.8881427592,18615.5987783549
"380",39.5071482366742,0,0,6.49956187579209
"381",10.6089158424324,21.1967857206145,8.83684716427026,0
"382",75540.8486444628,132847.786480501,122464.639956362,126878.675092825
"383",5769.91978545274,11660.8314216986,3197.55681483658,7143.3497087546
"384",94.6581742967288,516.525108030278,174.098283582348,951.674399926948
"385",0,0,0,0
"386",1152.68923869264,1352.68269831378,726.26964462109,2504.786877169
"387",238.310418537131,220.554901879567,100.863399424949,933.475434700818
"388",6076.73155802836,5147.8148249743,14369.8773916801,13052.2213043843
"389",4047.50440813896,11682.2294252707,732.500948934173,1043.43684000837
"390",5.36452137320511,2.07796841171543,0,10.9397908603461
"391",165.856096867554,305.526938506581,75.416900787266,970.227235467189
"392",7316.588112251,7490.31008052325,5392.79166807438,11246.7763309607
"393",1452.11686219246,4349.80392844008,3742.59250344197,7055.44282880433
"394",6936.41903634866,5637.26650994733,7721.5789650749,5206.05692389584
"395",49673.176932703,31719.6700525748,49746.962032354,71089.6198987064
"396",54759.5345026064,26631.2296463483,68076.2785787606,75964.9161850132
"397",0,0,0,0
"398",0,11.7168363341995,48.4716094625168,27.2226720677921
"399",0,0,0,0
"400",168.534396795275,337.384404705502,107.034107455469,950.800969257251
"401",10331.1756541358,17123.4780815079,13498.3170671858,27633.8126196569
"402",1.92430798414579,15.4386240271849,0,5.7673612802426
"403",17273.7617765992,13587.9938151233,12785.7834404268,12666.0773735924
"404",142.314614288363,45.979605450912,182.51544300388,2042.9602006176
"405",0,0,0,18.6197925757667
"406",1790.76743272265,4576.4732919502,4786.8493164151,7280.61133450691
"407",20012.4497725679,25319.9760020231,25915.4461624352,31958.2948306029
"408",3119.54996950514,8168.61877044766,882.571567823916,566.904828412127
"409",315.236604020442,618.639624774147,228.140794659617,1139.90018510285
"410",4218.10412578175,14358.3739660015,3504.1416647209,2173.59239129452
"411",22251.2426983852,27030.8059694259,22337.0679624935,18985.6947979764
"412",1534.07827977974,849.909378371628,2259.18510625684,1787.55166114282
"413",15237.2363183172,25461.5876984805,14974.0094602654,40375.6008285314
"414",41167.9096549638,30064.6776844729,53293.0902113359,49770.8059906592
"415",7970.77070784541,12104.5368423658,6759.36287649912,13974.1300930289
"416",11597.7231405691,17651.4404046365,15059.9096956646,23053.3350004149
"417",38671.4697259833,49868.2381535891,47266.2858372127,53315.4675305854
"418",36194.9989119025,45289.4943868385,51377.4640866105,68258.6404079693
"419",0,0,0,0
"420",45402.8108858066,47699.9529974923,50836.5790251584,59226.3422116444
"421",0,0,0,7.99404674655831
"422",43254.3183086709,19683.1288453826,54177.8635390693,56284.1139299733
"423",1015.11181653794,1765.72840069248,1025.3463503651,2337.00842969005
"424",0,0,0,0
"425",47336.5659532665,40350.7434628224,43293.2582487375,49227.8818617215
